DEP,ESTE,NORTE,X9,X8,X7,X6,X5,X4,X3
"1",181916.43229999999,932029.70550000004,-0.03214,1.91966,4.32704,1.33579,0.52510,34.09013,123.61854
"1",173605.38740000001,928968.12100000004,0.32152,2.06546,4.16547,1.46307,0.45667,36.92971,40.86984
"1",173356.28010000000,924104.17929999996,-0.05601,1.96870,4.17227,1.33655,0.29558,28.31163,41.78168
"1",168017.90839999999,927544.61640000006,0.04301,1.98705,4.26096,1.27071,0.34747,12.50384,55.82356
"1",170078.33780000001,932876.85869999998,0.13594,2.36738,4.73827,1.37889,0.69314,84.13125,72.07878
"1",194990.97420000000,953021.57310000004,0.45913,2.08160,4.23576,1.28096,0.16317,100.78758,134.21245
"1",185858.00289999999,907642.93149999995,0.14952,2.22272,4.34544,1.25908,0.40772,7.05890,2.16493
"1",159352.08249999999,928323.24159999995,-0.15454,1.72587,4.05596,1.16045,-0.06838,8.84217,79.76988
"1",256779.36610000001,912654.01879999996,-0.34688,1.51520,3.72779,1.24447,0.08752,120.23405,306.29037
"1",256203.09830000001,910460.29570000002,-0.43932,1.51761,3.73930,1.21160,0.06099,93.79191,209.29300
"1",177259.97260000001,932243.78009999997,0.46785,2.39152,4.67068,1.81551,0.94984,96.66655,90.51536
"1",253457.18210000001,880206.84479999996,-0.05980,1.90567,3.75799,1.37599,0.44640,51.06094,-5.01460
"1",250112.16469999999,880962.52200000000,0.18815,1.74931,3.84498,1.19617,0.16971,25.88007,-36.47198
"1",186277.25469999999,888680.66029999999,-0.27337,1.76151,4.24033,1.07841,0.06262,114.60730,-56.79264
"1",282724.60369999998,879180.95449999999,-0.35074,1.71796,3.43853,1.30130,-0.16835,102.43624,178.84854
"1",283042.08230000001,878489.38690000004,-0.35074,1.71796,3.43853,1.30130,-0.16835,102.43624,178.84854
"1",282637.73300000001,879521.98470000003,-0.33795,1.61968,3.58526,1.15589,-0.09502,60.70063,171.38264
"1",283758.55619999999,877548.00879999995,-0.35136,1.59784,3.45626,1.15734,-0.24437,93.30125,197.76283
"1",283389.13170000003,878242.91929999995,-0.35074,1.71796,3.43853,1.30130,-0.16835,102.43624,178.84854
"1",256960.06240000000,911633.83080000000,-0.34688,1.51520,3.72779,1.24447,0.08752,120.23405,306.29037
"1",256919.56159999999,910406.54079999996,-0.37583,1.51353,3.73218,1.22381,0.04678,112.29831,212.53781
"1",256892.23319999999,911415.21759999997,-0.37583,1.51353,3.73218,1.22381,0.04678,112.29831,212.53781
"1",256327.45920000001,912799.79989999998,-0.36133,1.51004,3.71220,1.21462,0.11351,146.94756,450.15530
"1",280678.88829999999,877305.61690000002,-0.41954,1.52618,3.50946,1.06976,-0.00894,39.33306,122.00092
"1",284532.21299999999,880626.09400000004,-0.27947,1.76278,3.76381,1.26514,0.20195,3.38824,170.23898
"0",281000.51520000002,933673.98019999999,0.24396,2.37436,4.96542,1.42318,0.20228,43.85196,24.18472
"0",282117.13150000002,932424.43339999998,-0.21779,1.89987,3.98524,1.23993,0.11054,53.98660,39.42781
"0",279697.79609999998,932597.24300000002,0.01834,2.15966,4.47261,1.35016,0.21260,19.00020,-23.65788
"0",280907.46380000003,931334.40319999994,-0.10080,1.99978,4.03338,1.32595,0.28413,26.76652,-32.69651
"0",250912.20050000001,955349.64520000003,-0.30664,1.64892,3.84117,1.03529,-0.00194,52.66629,-47.18128
"0",253464.46640000000,955402.81740000006,-0.34093,1.69903,3.91679,1.04920,0.09279,10.16447,-33.63964
"0",252307.97089999999,956506.14069999999,-0.32616,1.65763,3.84883,1.02061,0.15818,15.78313,-6.90844
"0",254488.03130000000,957787.59080000001,-0.33761,1.72162,3.88377,0.97751,0.09244,10.64137,-3.38199
"0",253331.53589999999,957800.88390000002,-0.33528,1.67897,3.88196,1.00075,0.13329,12.55278,-14.62376
"0",253331.53589999999,956631.09530000004,-0.31376,1.69562,3.88739,1.03127,0.11159,10.79384,-24.74448
"0",279750.54900000000,915848.17310000001,-0.46597,1.50211,3.41058,1.04778,0.15221,30.80441,-67.33571
"0",282103.41899999999,915688.65639999998,-0.45508,1.52619,3.50171,1.12345,0.06801,17.03311,-83.10673
"0",280840.57919999998,914572.04009999998,-0.44958,1.56096,3.54656,1.10845,0.10229,6.07230,-43.34116
"0",280960.21659999999,916964.78940000001,-0.45005,1.53452,3.48884,1.11514,0.11250,64.75625,-33.97177
"0",280813.51010000001,937323.58380000002,-0.02768,2.05970,4.24529,1.24351,0.05287,28.35398,13.89861
"0",282102.93599999999,936020.86470000003,-0.05690,2.07714,4.27335,1.24287,0.04587,28.65213,-22.75061
"0",283272.72460000002,937350.16989999998,-0.17130,1.97116,3.96652,1.12373,-0.11990,23.09264,-5.83127
"0",282009.88470000000,938413.61399999994,-0.14387,1.98216,3.97727,1.14247,-0.14046,42.86995,84.04925
"0",160926.58559999999,962555.83680000005,-0.27700,1.83190,4.08808,1.40488,0.26315,16.59399,11.89861
"0",162069.78800000000,963725.62529999996,-0.18450,1.77487,3.97976,1.33891,-0.05276,10.96312,9.28896
"0",160860.12030000001,964975.17209999997,-0.41335,1.76731,4.07349,1.41747,0.14566,14.62592,4.85993
"0",159557.40130000000,963738.91839999997,-0.67433,1.74416,3.96905,1.47130,0.59122,11.11628,-1.09132
"0",223446.48929999999,847298.82960000006,-0.59499,1.72132,3.55637,0.95089,-0.00265,245.67554,-14.56183
"0",222183.64939999999,846115.74809999997,-0.61817,1.72659,3.72069,0.99117,0.05210,55.33199,-11.80285
"0",224642.86390000000,846009.40359999996,-0.79590,1.52654,3.52724,0.87360,0.00985,85.36406,73.22563
"0",224483.34729999999,847099.43389999995,-0.75632,1.55213,3.49681,0.87383,-0.03262,311.10907,133.98726
"0",164535.01730000001,964837.19519999996,-0.30553,1.76319,4.16872,1.41726,-0.01390,23.22250,74.44873
"0",165811.15020000000,963773.75109999999,-0.27596,1.73013,4.13780,1.40326,0.00801,17.82250,55.89470
"0",164521.72430000000,962484.32510000002,-0.20870,1.75604,4.05724,1.40349,0.07991,20.91948,17.94408
"0",163312.05660000001,963760.45799999998,-0.19264,1.77221,4.00525,1.34977,-0.04958,25.33038,9.73872
"0",300301.11580000003,864039.76859999995,-0.24342,1.87301,3.87898,1.17743,0.10139,36.55014,259.61072
"0",298945.22460000002,862816.80790000001,-0.22806,1.89604,3.89240,1.18547,0.12920,101.21678,147.80811
"0",300194.77140000003,861620.43330000003,-0.21339,1.91984,3.91506,1.19446,0.11730,73.72364,111.83688
"0",298905.34539999999,861740.07070000004,-0.21889,1.87383,3.87923,1.19441,0.13198,74.20349,99.76059
"0",298931.10729999997,921736.84620000003,-0.26118,1.76387,3.69002,1.25013,-0.12461,15.37174,20.93499
"0",300167.36109999998,922906.63470000005,-0.19205,1.77854,3.71027,1.24563,-0.08673,10.59313,15.17168
"0",298877.93510000000,924169.47459999996,-0.21865,1.81450,3.73566,1.25058,-0.06049,9.53368,4.11357
"0",297641.68130000000,923039.56519999995,-0.26730,1.83265,3.74991,1.27428,-0.06893,23.61519,2.71402
"0",193397.65609999999,961368.30530000001,-0.32268,1.69069,4.10125,0.98210,0.12551,22.19764,158.45581
"0",192387.29170000000,960310.74210000003,-0.29269,1.71715,4.03913,0.98602,0.11219,59.92773,36.62315
"0",193277.92619999999,960161.85990000004,-0.25789,1.67522,3.84265,1.00343,0.03683,79.54185,52.26852
"0",194567.35209999999,958872.43389999995,-0.19586,1.69090,3.72970,1.03785,-0.00603,54.44864,23.56334
"0",193251.34010000000,958832.55480000004,-0.22317,1.63849,3.60523,0.99599,-0.07259,32.67751,7.95661
"0",189755.26759999999,961610.80249999999,-0.21616,1.85431,4.36729,1.16158,0.20062,20.39563,51.08318
"0",190964.93520000001,960321.37650000001,-0.25748,1.75904,4.14969,1.04783,0.15179,19.56391,35.84150
"0",190938.34909999999,962571.89009999996,-0.28464,1.76974,4.26697,1.08730,0.16093,19.28314,74.94643
"0",192134.72370000000,962571.89009999996,-0.33780,1.68618,4.20177,1.01559,0.13549,20.27691,90.44656
"0",195750.43369999999,962611.76930000004,-0.30018,1.69413,4.12197,1.12387,0.09933,17.61127,61.83418
"0",197026.56659999999,961375.51549999998,-0.10957,1.75982,3.95245,1.20120,0.28478,27.79296,56.18064
"0",195761.65190000000,960227.74479999999,-0.17532,1.73696,3.97266,1.12607,0.19899,25.16431,118.34167
"0",196960.10140000001,962598.47620000003,-0.27793,1.71826,4.03793,1.15661,0.09941,39.92443,51.74128
"0",194387.14610000001,962633.04920000001,-0.32662,1.65241,4.21665,1.08500,0.12699,22.34199,77.24368
"0",192153.27330000000,961430.12450000003,-0.37459,1.69946,4.06299,0.85037,0.11455,57.95437,121.20432
"0",196998.46530000001,960256.03359999997,-0.08964,1.76683,3.94779,1.20322,0.30915,34.66324,94.40109
"0",199346.64710000000,960107.20519999997,-0.22193,1.69985,3.99782,1.16137,0.25959,3.23223,49.31241
"0",198073.33720000001,958979.41650000005,-0.14275,1.76433,4.02995,1.17002,0.32555,17.83598,76.51205
"0",200537.27450000000,958929.80700000003,-0.24965,1.70390,4.00192,1.16501,0.21983,31.21474,56.31937
"0",199330.11060000001,957739.17969999998,-0.16095,1.78863,4.06535,1.17452,0.33143,13.71721,62.28765
"0",204175.30260000000,960170.04390000005,-0.39866,1.67133,3.93870,1.17470,-0.00519,449.58929,112.07044
"0",204076.08360000001,962471.92350000003,-0.48221,1.64153,3.88225,1.15853,0.02212,431.82480,-94.40422
"0",205349.39350000001,961330.90560000006,-0.45648,1.66432,3.90002,1.16785,-0.04169,391.91925,359.04352
"0",202901.99270000000,961363.97860000003,-0.38338,1.64545,3.95368,1.16445,0.08026,122.12960,607.79688
"0",229356.50790000000,850914.08050000004,-0.67531,1.70741,3.54355,0.97038,0.26279,14.61074,43.35273
"0",228067.08189999999,852176.92039999994,-0.64487,1.76263,3.64690,0.99816,0.36281,26.09390,39.04980
"0",229276.74960000001,853439.76029999997,-0.65560,1.70417,3.64061,0.98891,0.30988,47.51262,100.07259
"0",230552.88250000001,852216.79960000003,-0.65303,1.71082,3.53985,0.97289,0.28702,21.35366,-2.07785
"0",254482.31120000000,924165.14040000003,-0.43780,1.58032,3.73568,1.14321,-0.00518,785.48163,990.54462
"0",253259.35050000000,925334.92890000006,-0.41995,1.58200,3.69965,1.14910,-0.04138,19.00374,344.91385
"0",254535.48340000000,926531.30359999998,-0.41508,1.58077,3.70841,1.15092,-0.03305,193.25227,228.26408
"0",255705.27189999999,925334.92890000006,-0.43199,1.56456,3.72105,1.13566,-0.04109,689.64172,338.66193
"0",298899.12689999997,876201.90980000002,-0.44138,1.73871,3.74522,1.18699,0.10270,68.63947,13.03646
"0",298939.00599999999,873809.16059999994,-0.42621,1.74747,3.74995,1.16035,0.10691,40.41246,120.19794
"0",300175.25980000000,874965.65599999996,-0.42013,1.74473,3.75921,1.17260,0.13117,69.37637,19.24726
"0",297649.58010000002,875018.82819999999,-0.42814,1.74310,3.72521,1.17158,0.05164,84.15784,185.59787
"0",163306.31800000000,955337.96369999996,-0.11725,1.93210,4.18493,1.38054,0.46515,34.27108,30.75857
"0",164462.81340000001,956614.09660000005,-0.13313,1.92159,4.18327,1.38860,0.43354,24.81094,42.69357
"0",162030.18500000000,956587.51049999997,-0.14907,1.84460,4.08998,1.33738,0.42049,33.77847,32.80077
"0",163279.73190000001,957810.47120000003,-0.13733,1.90246,4.20636,1.41405,0.34095,33.63845,403.28934
"0",208890.03930000000,863037.93010000000,-0.27038,1.73350,3.79014,1.00397,-0.32514,11.15564,-19.27668
"0",210033.04160000000,861831.42770000000,-0.32049,1.76992,3.85191,1.08926,-0.30938,8.73046,-20.50871
"0",207747.03709999999,861815.55270000000,-0.41447,1.67337,3.73473,1.06971,-0.33451,11.60721,-18.49175
"0",210001.29160000000,864022.18209999998,-0.27417,1.79991,3.88995,1.11527,-0.18286,30.56681,5.85801
"0",170476.87700000001,871378.34010000003,0.03277,1.92169,4.12859,1.21493,0.23775,54.55891,5.46837
"0",171646.66550000000,872641.18000000005,0.00279,1.93174,4.03938,1.13959,0.18466,42.87687,14.76622
"0",173055.72899999999,871404.92619999999,-0.09864,1.80066,3.86907,1.08980,0.16074,19.22488,37.54289
"0",171806.18220000001,870208.55160000001,0.02797,1.85544,4.03180,1.17917,0.21617,22.10382,85.21720
"0",199289.41050000000,860585.61739999999,-0.45415,1.70206,3.80808,1.10471,-0.16008,30.53610,6.40021
"0",196816.90299999999,860532.44519999996,-0.50643,1.62041,3.59406,0.96162,-0.25740,34.82643,2.25335
"0",198053.15680000000,861888.33640000003,-0.46929,1.63430,3.73830,1.04887,-0.28586,3.54466,29.21098
"0",198159.50120000000,859282.89830000000,-0.47145,1.64549,3.62584,1.00598,-0.14649,29.59428,-26.07888
"0",252120.54980000001,969735.53899999999,-0.35329,1.68046,3.57073,0.95987,0.06160,27.09458,-10.77933
"0",253303.63140000001,970918.62060000002,-0.37353,1.71954,3.63434,0.98506,0.05525,27.89334,-29.78688
"0",250804.53769999999,971011.67200000002,-0.39811,1.75467,3.72499,0.98632,0.11791,38.31358,-36.90261
"0",252093.96369999999,972128.28830000001,-0.35973,1.80426,3.81152,1.04562,0.07090,15.74927,-78.11621
"0",160867.23590000000,897726.02910000004,-0.32198,1.87702,4.18569,1.26465,0.20914,13.58440,-0.38621
"0",162050.31750000000,896516.36140000005,-0.12253,1.87470,4.22100,1.20841,0.42475,37.16978,-41.29803
"0",160853.94289999999,895333.27980000002,-0.16265,1.83145,4.16819,1.20879,0.40208,30.99570,-22.80543
"0",159604.39610000001,896516.36140000005,-0.30130,1.85489,4.20703,1.25765,0.18180,13.46655,0.93473
"0",176517.81839999999,905027.01100000006,0.03909,1.97351,4.43219,1.25790,-0.03303,3.40706,-32.93694
"0",175268.27160000001,903804.05030000000,0.05717,2.00668,4.58887,1.26807,0.00580,10.85494,-27.74405
"0",176451.35310000001,902554.50349999999,0.09726,2.05492,4.69783,1.29197,0.09421,6.83604,-43.97468
"0",177687.60690000001,903830.63639999996,0.02541,2.00544,4.44731,1.29475,0.03177,14.06087,-19.23404
"0",290487.25339999999,923061.91350000002,-0.17420,1.86660,3.67931,1.42477,0.05937,43.77874,55.59854
"0",289264.29259999999,921759.19440000004,-0.26393,1.76828,3.68132,1.35830,0.05054,25.80842,27.30614
"0",290473.96029999998,920536.23369999998,-0.23886,1.78914,3.65809,1.38910,0.01736,39.44787,-27.44506
"0",291683.62800000003,921706.02220000001,-0.07298,1.95986,3.68927,1.56838,0.06781,58.99788,21.13674
"0",292861.61139999999,949391.21120000002,-0.33900,1.82849,3.58572,0.84818,-0.24997,18.53325,-6.05847
"0",294084.57209999999,950547.70669999998,-0.37533,1.74868,3.61428,0.91143,-0.27749,11.13205,23.83579
"0",295294.23979999998,949377.91810000001,-0.39128,1.64219,3.50762,0.93997,-0.28739,10.63574,26.79338
"0",294137.74430000002,948314.47400000005,-0.37378,1.68339,3.55768,0.90734,-0.27631,21.11490,1.78017
"0",260495.20379999999,967325.89960000000,-0.27733,2.05137,4.06915,1.03427,-0.02797,13.53115,117.63541
"0",259245.65690000000,966156.11109999998,-0.30759,1.99408,3.96745,1.00687,0.03301,21.50484,92.74905
"0",260508.49679999999,964906.56429999997,-0.31490,1.92145,3.82109,0.99303,0.07489,24.21770,65.94781
"0",261718.16450000001,966249.16249999998,-0.24524,2.07417,4.10704,1.06468,-0.10025,32.00773,90.64301
"0",204056.37880000001,897716.07960000006,-0.31526,1.92604,4.44124,1.27916,-0.06929,134.92079,187.84299
"0",201738.62409999999,896620.70239999995,-0.37263,1.65848,4.27795,1.21616,-0.02111,76.59124,24.83357
"0",202865.75140000001,898938.45710000000,-0.34878,1.77747,4.35368,1.22875,0.57128,173.98383,312.64163
"0",204118.03349999999,895500.62260000000,-0.36184,1.81579,4.30626,1.24937,0.12305,46.85096,44.85203
"0",207686.05280000000,892961.22060000000,-0.39509,1.81778,4.25472,1.23025,0.15699,55.71080,62.78279
"0",206502.97120000000,890595.05750000000,-0.35587,1.70459,4.32243,1.14457,-0.00649,21.99436,-13.63096
"0",208909.01350000000,891724.96680000005,-0.41958,1.75093,4.28713,1.22818,-0.01945,63.96827,61.72958
"0",206463.09210000001,891791.43209999998,-0.41137,1.67845,4.26091,1.12760,0.01864,22.25256,-15.20631
"0",231657.69430000000,942195.68649999995,-0.27154,1.87462,3.96009,1.19309,-0.07179,396.29584,437.51828
"0",232901.23840000000,941097.66339999996,-0.31347,1.81717,3.92325,1.24102,-0.08123,236.32922,243.41826
"0",234105.09500000000,943386.31380000000,-0.28583,1.85629,3.95719,1.17294,-0.05392,89.47050,365.47797
"0",232861.55080000000,944563.71200000006,-0.27036,1.89769,3.99752,1.11889,-0.05356,340.17422,374.73914
"0",242488.21130000000,937427.99820000003,-0.36247,1.62720,3.87343,1.28530,-0.04498,41.54187,-70.16463
"0",243675.05340000000,939707.60349999997,-0.37597,1.63517,3.82730,1.25892,-0.05287,33.68017,53.45820
"0",242394.13230000000,939758.26139999996,-0.36460,1.65637,3.86876,1.28862,-0.06598,15.68576,18.05197
"0",244854.65870000000,938593.12980000000,-0.35553,1.63969,3.83401,1.23944,-0.05645,54.62181,51.98186
"0",236506.81730000000,937392.27419999999,-0.40701,1.73883,3.87347,1.37883,-0.04266,54.19196,-52.70052
"0",235327.21200000000,939715.30050000001,-0.34595,1.78008,3.93716,1.33562,-0.04759,134.63936,68.17385
"0",238685.10680000001,938571.87950000004,-0.36214,1.67092,3.90888,1.31196,-0.05268,17.84537,-56.27456
"0",237635.76470000000,939852.80050000001,-0.38315,1.72280,3.91413,1.33029,-0.08861,84.85808,28.65482
"0",286828.36690000002,961375.41110000003,-0.03614,1.96556,4.21708,1.05734,0.03419,39.49332,47.60231
"0",288080.34060000000,962634.62159999995,0.07677,2.30554,4.99075,1.35564,0.48113,26.26205,78.96339
"0",288058.63000000000,960130.67429999996,-0.09144,1.96000,4.12824,1.02594,0.07155,40.43497,49.58744
"0",289310.60369999998,961382.64800000004,-0.14345,2.04583,4.24863,1.08447,0.20126,25.78631,65.86055
"0",244869.92619999999,904992.40209999995,-0.45979,1.54291,3.90551,1.22564,0.05532,35.00915,-247.29237
"0",244877.16310000001,902582.53370000003,-0.50425,1.41575,3.82969,1.27296,-0.10843,251.87735,110.76142
"0",246143.61040000001,904920.03370000003,-0.52640,1.50614,3.85464,1.21039,0.03315,93.59531,-214.68726
"0",243675.84729999999,903776.61259999999,-0.42988,1.56583,3.94262,1.25482,0.05052,239.44466,-166.25400
"0",250859.47750000001,895373.63780000003,-0.46302,1.35667,3.76902,1.16251,-0.12220,249.81441,-230.83611
"0",252082.50380000001,896640.08519999997,-0.48524,1.36968,3.77677,1.17651,-0.15941,153.30209,-36.23153
"0",250837.76699999999,897790.74300000002,-0.50539,1.37101,3.78906,1.22758,-0.20653,121.81747,-38.10812
"0",249629.21429999999,896589.42729999998,-0.50829,1.34469,3.77540,1.21663,-0.18248,184.54994,75.75132
"0",288049.09220000001,859370.40500000003,-0.76729,1.62459,3.81913,1.28321,0.05358,100.15445,105.60249
"0",289272.11849999998,860651.32600000000,-0.68584,1.58883,3.77357,1.21907,0.12230,53.01740,50.48901
"0",290480.67109999998,859363.16810000001,-0.67881,1.51251,3.72510,1.15102,0.25334,79.67415,11.13447
"0",288034.61849999998,858169.08920000005,-0.76986,1.53083,3.74330,1.16885,0.20881,73.08209,152.57458
"0",292854.56260000000,849771.17669999995,-0.48866,1.63659,3.75405,1.25103,0.29725,8.18167,11.24586
"0",294113.77309999999,852086.96609999996,-0.47376,1.55397,3.71139,1.19704,0.36642,60.68927,78.03857
"0",295278.90470000001,849778.41350000002,-0.44138,1.55145,3.70939,1.20695,0.24233,50.78694,79.98703
"0",292840.08889999997,851052.09770000004,-0.50088,1.58598,3.70195,1.20796,0.40196,64.97239,-15.98613
"0",271265.90000000002,853385.32929999998,-0.41832,1.47547,3.71907,1.04220,-0.04074,39.00976,-19.69014
"0",272459.97889999999,855722.82929999998,-0.56729,1.55751,3.74960,1.17184,0.00157,88.39275,-40.96218
