DEP;PC1;PC2;PC3;PC4;PC5;PC6;PC7
0;-3.31446;-0.0965;0.85193;-0.62482;-0.30337;0.56049;0.54874
0;-3.48063;1.81605;0.554;-0.45613;-1.72538;0.19392;0.6618
0;0.68555;-0.01579;-0.68483;1.39619;0.80662;0.41513;-0.0782
0;0.62591;-0.14471;-0.5713;1.36116;0.7591;0.28319;-0.22785
0;0.801;-0.2637;-0.31153;1.35283;0.60049;-0.10039;-0.20165
0;0.4529;-0.33508;-0.74322;1.03206;0.49154;-0.26517;-0.11014
0;0.05833;0.60417;0.10646;-0.44618;0.94909;-0.19351;0.24102
0;0.18117;0.64897;0.11437;-0.151;0.06745;-0.33551;0.34578
0;0.33137;0.30931;0.02828;-0.13207;0.14373;-0.3311;0.38588
0;0.19089;0.26399;0.13797;-0.02966;0.1211;-0.39022;0.27723
0;-0.54878;-0.46864;-0.63545;0.59819;0.60907;-0.74958;0.28308
0;-0.30482;-0.52911;-0.56298;0.47219;0.57166;-0.87768;0.15787
0;-0.19007;-0.5692;-0.4864;0.49312;0.52708;-0.76483;0.30968
0;-0.18275;-0.44394;-0.53002;0.68145;0.47158;-0.64044;0.47724
0;-0.66219;-0.11647;0.35175;-1.16905;0.20354;0.66437;-0.48716
0;-0.65986;-0.32065;0.26381;-0.91938;-0.47369;0.32346;-0.3235
0;-1.04384;-0.10649;0.09754;-0.73643;-0.39267;-0.24185;-0.31508
0;-0.98998;-0.37814;-0.05891;-0.57695;-0.17939;-0.69144;-0.24976
0;-1.53275;-0.65444;-0.12217;-0.68877;-0.05728;-0.86581;-0.25058
0;0.92632;-0.36338;0.087;-0.34868;-0.01325;0.79357;-0.30983
0;-0.0713;-0.55497;0.24815;-0.74729;-0.13936;0.48076;-0.36338
0;0.1908;-0.35873;0.18177;-0.60743;0.02286;0.82026;-0.38902
0;-0.43362;-0.36856;0.28661;-0.86221;-0.00862;0.88197;-0.52947
0;-0.19411;-0.39699;0.07594;-0.20734;0.18264;0.5103;-0.43341
0;0.55082;-0.24144;0.65169;0.02999;0.22413;-0.43061;-0.44949
0;0.05911;-0.09943;0.45258;-0.4312;0.34466;-0.13476;-0.44782
0;-0.14525;-0.2364;0.06647;0.0067;0.08805;0.20308;-0.28684
