DEP;PC9;PC8;PC7;PC6;PC5;PC4;PC3;PC2;PC1
0;-0.16045;0.41645;-0.72931;-2.13782;-1.39406;-0.29369;-0.01036;0.00405;-2.55134
0;0.39547;-0.29406;-0.1208;-0.96919;1.36294;1.10302;1.34189;0.38009;-1.71756
0;-0.3511;-0.28335;0.28883;-0.43905;1.22614;2.68871;1.54018;-1.08484;-1.69381
0;0.40227;-0.06485;0.61512;-0.52633;-0.38831;-0.28884;-0.33923;-0.09553;-1.53772
0;-0.54802;0.16284;0.29615;0.37143;-0.98066;-1.00429;-0.31028;-0.57537;-3.36971
0;-0.01512;0.10827;-0.31571;0.98256;-0.25014;1.35945;1.2771;-1.58646;-1.05011
0;0.34207;-0.53134;0.57463;-0.62652;-0.57031;-0.88414;0.24989;-0.80299;-0.44462
0;0.49456;0.27029;0.1501;0.34894;-0.12351;-1.20025;1.41902;-1.26009;-0.15933
0;0.61921;0.14943;-0.04928;-0.00775;0.9548;-1.70308;0.51652;-1.25548;-0.31974
0;0.08266;0.17632;-0.12328;-2.30635;-1.02195;0.30098;-0.07881;-0.42195;-1.82514
0;-0.07819;0.18782;-0.00315;0.1709;-0.3744;0.53969;1.29948;-1.17567;0.85615
0;-0.06197;0.76301;0.12819;-1.3431;1.26184;-2.05551;1.53239;-1.36457;-1.02979
0;0.00987;-0.07875;0.12983;0.23595;0.58012;0.57954;0.72014;-0.85908;3.00568
0;0.51583;-0.46248;-0.37372;0.48497;-0.33877;0.3747;2.42325;0.02308;-0.3948
0;-0.06383;-0.39027;0.11821;-0.23307;-0.69671;0.23604;-0.47395;-0.58138;0.50966
0;-0.08648;-0.43908;0.16244;0.07579;0.67314;0.21685;-0.47118;-0.235;-0.56702
0;-0.18106;0.0496;0.3661;0.6624;-1.04649;-0.22179;-0.15704;0.26676;0.57204
0;-0.05;0.27345;0.09802;0.76389;-0.87433;0.72832;0.66351;-0.85892;-0.54872
0;0.00504;-0.29561;0.35055;-0.23197;-0.62609;-0.02509;-0.32951;-0.37808;-0.28695
0;0.45142;-0.16142;-0.27622;1.05511;0.08736;-1.18114;-0.43726;-0.65312;-1.24052
0;0.24878;-0.00527;-0.35964;0.47965;-1.03599;-0.47768;0.73161;-0.35977;0.07135
