ETIQ,PC9,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
"9",-0.55994,-1.25530,-0.63595,0.70999,0.48467,-0.40035,-0.99714,-0.10191,1.55466
"9",-0.66380,0.62207,-0.29079,0.57647,0.33560,-1.22470,-1.27022,-0.36847,-2.11085
"9",-1.20227,-0.53917,0.56780,-0.05342,-0.31918,-0.86872,0.25144,0.43138,-2.54928
"9",0.01659,-0.30815,-0.14476,0.52613,0.03809,0.55840,-0.12646,-0.45405,-0.98405
"9",-0.60195,-0.41374,-0.15018,0.18120,-0.33589,-0.93179,1.95271,-0.17907,2.70697
"9",0.13313,-0.77352,0.30519,-0.29276,0.79848,0.10396,0.50791,3.46247,-3.14999
"9",-0.07547,-0.37231,0.00527,-0.29686,-0.78807,0.37455,-1.01611,-0.24074,-0.63806
"9",0.42499,-0.37157,-0.66237,-0.82720,1.10498,-0.74662,-1.36224,-0.10344,-0.35278
"9",0.32443,-0.82746,-0.60754,-0.33083,-1.04429,-0.11115,-0.25845,1.52642,0.66745
"9",-0.47192,0.33826,0.56762,0.17335,-0.66233,-0.09541,-0.15725,0.51944,0.12237
"9",0.25700,0.05332,0.08903,-0.04789,0.33581,0.66595,-0.81168,-0.21212,-0.66643
"9",-0.33138,0.41404,0.48798,-0.20967,-0.88709,-0.62553,-0.35966,-0.07379,0.59784
"9",0.22524,0.04016,0.07172,0.02137,0.34579,0.76288,-0.77381,-0.16302,-0.67772
"9",0.46199,-0.53156,-0.82485,1.06292,0.92240,0.49078,0.04154,0.26259,-1.16691
"9",0.17563,-0.15336,0.41644,0.62429,-0.07262,-0.15332,-0.67654,1.07948,-0.55605
"9",0.04516,-0.35562,0.25752,-0.86864,-0.73056,-0.09944,-0.57788,0.52387,0.72050
"9",-0.04099,-0.29820,-0.93685,-0.59486,-0.87662,0.05949,-0.02658,1.84639,-0.72773
"9",-0.23748,-0.46117,-1.05826,-0.49393,-0.24744,-0.87355,-0.72508,0.09818,-0.41738
"9",-0.45251,0.27324,-0.04044,0.44384,0.10864,-1.20869,2.91369,-2.53911,-2.93278
"9",-0.26421,-0.13064,-0.71584,-0.43826,-0.10261,0.54927,0.23220,1.88666,-2.76602
"9",0.27989,-0.06765,0.34341,-0.98887,-0.02192,1.99612,0.04707,0.53202,-0.14113
"9",-0.11667,-0.22901,0.31678,-0.07819,0.73680,0.59212,-0.51376,-0.26538,0.29564
"9",-0.45982,0.16492,0.84459,0.10197,0.00793,-0.32135,-0.55882,1.04725,-1.06227
"9",-0.17692,-0.10119,-0.17315,0.68570,-1.26704,0.22702,-0.32655,0.23645,-0.03002
"9",-0.06486,-0.02746,-1.63105,-0.38252,-1.27442,1.10713,0.97709,2.56892,-2.35750
"9",-0.49114,-1.07545,0.01690,-0.79493,-0.39553,-0.53528,-1.27981,0.42714,-1.00048
"9",-0.14842,-0.01374,-0.97358,0.24402,-0.63890,1.51774,-0.04309,-0.98744,-0.61266
"9",0.18419,0.20702,-0.43116,1.22276,0.19390,-0.97385,-0.92405,-0.61514,-0.69444
"9",0.39775,-0.01932,-0.18133,0.75058,0.05915,-0.49487,-0.13400,-0.95356,-1.40798
"9",-0.24311,0.18291,-0.00814,0.59285,0.08137,0.24018,-0.48208,-0.27416,2.52989
"9",0.12640,-0.97106,0.55020,-0.95936,0.62798,0.07727,-1.26224,0.54665,-1.91756
"9",0.19935,-0.50250,0.52170,-0.01097,-0.91004,1.35783,-0.09284,-0.22578,0.02107
"9",-0.69691,0.60355,0.13892,0.76964,0.77453,-1.23231,-0.43669,-0.07057,-2.19306
"9",-0.20751,0.21879,0.24956,0.81627,-0.89009,0.07240,0.09879,-0.12544,0.38718
"9",0.23367,0.34476,-0.03861,-1.04318,-0.17358,-0.68654,1.08759,3.56122,-1.00238
"9",0.14133,1.01979,-0.52435,0.01100,0.40862,0.46258,-0.30988,0.60523,5.45422
