ETIQUETA;N;E;PC9;PC8;PC7;PC6;PC5;PC4;PC3;PC2;PC1
0;865108.6601;208338.1265;0.38777;-0.10727;0.18889;0.3068;-1.41952;-0.0538;1.55435;-1.519;-0.77511
0;931416.7212;206085.3481;-0.09964;0.3119;-0.32245;0.18904;0.04645;-0.05191;-1.11818;-0.02465;2.25102
0;973396.9445;169756.7905;0.08079;-0.44395;0.38137;0.08241;-0.85246;1.72937;0.3619;1.10692;-0.08326
0;922343.95;275630.1023;0.06755;0.60305;-0.49735;0.07246;0.27154;1.99192;0.15216;-0.58809;-1.10811
0;866181.3502;186078.5915;-0.03939;0.63525;0.4406;-1.44264;1.33373;-2.15653;1.85913;-1.25096;-0.63501
0;851753.339;238745.729;0.73211;-0.65542;-0.17679;0.79563;1.80773;-0.44396;-1.01724;-0.46864;-2.94308
0;947371.77;186080.9685;-0.51983;0.83958;0.0657;-0.17194;-0.02184;1.0244;-0.57705;-0.16589;2.25444
0;855316.0775;224085.712;0.58236;-0.63233;-0.16713;0.2497;0.57476;-0.22984;-0.49453;-0.90116;-0.49837
0;891576.1905;258161.6242;-0.82168;0.23782;0.42124;-0.99645;-0.13765;-0.85884;-0.13237;-0.71408;-2.24006
0;850271.5499;265249.0726;-0.10087;0.17544;-0.15031;0.2639;1.52847;-0.97265;-0.8425;-0.39568;-2.64619
0;857550.9151;221205.4506;0.5657;-0.37612;-2.02753;-0.28967;0.0818;-0.33329;2.25716;3.2317;0.19629
0;923838.9804;222435.6549;0.3096;-0.68976;-0.02068;-0.3895;0.75105;0.71379;-0.73066;-0.23377;2.29022
0;917920.8228;171443.8092;0.2658;0.21533;-0.1482;-0.89059;1.56199;0.36846;-0.90989;0.60802;2.93973
0;967117.2893;290308.5963;0.09677;-0.47021;-0.4412;1.33151;0.53031;0.21522;-0.52455;-0.75448;-0.44818
0;954323.1564;272330.6884;0.36778;0.22877;-0.14643;0.92086;-0.4444;-1.26253;-0.78672;-0.67982;-1.47294
0;964552.8424;256538.4655;0.47531;0.22161;0.09968;0.34261;-0.21238;-1.32297;1.15875;-1.22989;-0.02786
0;906199.2416;164263.5412;-0.0581;-0.11807;0.07913;0.43079;0.00373;0.58653;0.71708;-0.81173;2.58452
0;918418.538;290058.1364;0.59624;1.22976;0.43651;-0.75704;0.01848;0.36882;0.44903;-1.21456;-1.54279
0;928661.1928;271036.0308;-0.24773;0.56025;-0.13094;0.6479;-0.48231;1.57062;0.10036;-1.02437;-0.43284
0;870446.3315;181042.8787;-0.19099;0.93145;-0.06566;-0.8301;0.58654;-2.0281;1.4558;-1.60313;-1.26592
0;858220.0676;191195.7008;-0.02104;0.61343;0.09228;-0.89741;0.28609;-1.89341;2.74714;-1.79447;-0.93866
0;848082.5265;265767.2186;-0.30091;0.21866;-0.07752;0.46725;1.33399;-0.95518;-0.68284;-0.91954;-3.08626
0;924057.0749;210024.065;-0.11434;-0.44599;-0.23009;0.31007;0.0064;0.67002;-0.8307;-0.63154;1.95488
0;955482.242;245687.697;-0.42759;0.01776;-0.97005;0.4244;-0.39175;0.89927;0.51652;-0.6856;-1.45898
